scs_certified,length_width_ratio,product_class,symmetry,fluorescence,price,index_id,is_top_sales_price,below_min_per_carat,recommend_order,dedicated,shape,has_v360_video,diamond_dor,carat,upc,active,report_order,collection,collection_order,inventory_location,clarity_order,cut_order,is_memo,culet,cut,color,real_diamond_image,origin,hearts_and_arrows_diamonds,pre_carat_price,title,color_order,girdle,shipping_day,certificate_number,valid,index_name,table,measurements,shipping_supplier,length,diamond_blockchain,depth,clarity,has_cert,rank_order,report,floor_adjustment,polish,id,orderby,receiveby,receiveby_short,orderby_short,receiveby_format,bf_adj_price,v360_link,image,inventory_quantity_seattle,inventory_quantity_secaucus,inventory_quantity_losangeles,inventory_quantity_sanfrancisco,inventory_quantity_sandiego,below_low_threshold,certificate_link,inventory_quantity_atlanta,inventory_quantity_philadelphia,inventory_quantity_dallas,inventory_quantity_austin,inventory_quantity_scottsdale,inventory_quantity_washingtondc,inventory_quantity_newyork,inventory_quantity_boston,inventory_quantity_denver,inventory_quantity_chicago
,1,Lab Created Colorless Diamonds,Excellent,None,350,13098288,True,True,3,False,Round,False,False,0.32,5377593A,True,,,,[],,,False,Pointed,Ideal,I,False,Lab Created,False,1093.75,0.32 Carat Round Diamond,,Medium,10,506183771,True,lab-created-colorless-diamonds,60.0,4.47 x 4.45 x 2.67,Pure Stones,4.46,False,59.8,VS1,False,10479,IGI,True,Excellent,13098288,"Monday January 17, 2022 by 2:00 PM PT","Monday, January 31","Mon, Jan 31",2 PM PT Monday,2022-01-31 03:00:01,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Excellent,None,350,12358638,True,True,3,False,Round,False,False,0.31,2183454Y,True,,Yosemite,,[],,,False,Pointed,Ideal,H,False,Lab Created,,1129.03,0.31 Carat Round Diamond,,Medium,4,234627380,True,lab-created-colorless-diamonds,57.5,4.39 x 4.37 x 2.67,Yehuda,4.38,False,61.0,SI1,True,4571,IGI,True,Excellent,12358638,"Monday January 17, 2022 by 2:00 PM PT","Friday, January 21","Fri, Jan 21",2 PM PT Monday,2022-01-21 03:02:06,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Good,None,350,13098335,True,True,3,False,Round,False,False,0.3,5377606A,True,,,,[],,,False,Pointed,Good,E,False,Lab Created,False,1166.67,0.30 Carat Round Diamond,,Slightly Thick - Thick,10,506183742,True,lab-created-colorless-diamonds,58.5,5.74 x 3.76 x 2.29,Pure Stones,4.75,False,60.9,VS1,False,10479,IGI,True,Very Good,13098335,"Monday January 17, 2022 by 2:00 PM PT","Monday, January 31","Mon, Jan 31",2 PM PT Monday,2022-01-31 03:00:01,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Excellent,None,350,13098326,True,True,3,False,Round,False,False,0.33,5377588A,True,,,,[],,,False,Pointed,Super Ideal,I,False,Lab Created,False,1060.61,0.33 Carat Round Diamond,,Medium,10,506183763,True,lab-created-colorless-diamonds,59.0,4.48 x 4.45 x 2.75,Pure Stones,4.465,False,61.6,VS2,False,1459,IGI,True,Excellent,13098326,"Monday January 17, 2022 by 2:00 PM PT","Monday, January 31","Mon, Jan 31",2 PM PT Monday,2022-01-31 03:00:01,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Excellent,None,360,13098723,True,True,3,False,Round,True,False,0.31,4962029Y,True,,,,[],,,False,None,Super Ideal,E,False,Lab Created,False,1161.29,0.31 Carat Round Diamond,,Thin - Medium,4,312380060,True,lab-created-colorless-diamonds,61.0,4.45 x 4.43 x 2.62,Grown Diamonds NY,4.4399999999999995,False,59.0,SI1,True,746,GCAL,True,Excellent,13098723,"Monday January 17, 2022 by 2:00 PM PT","Friday, January 21","Fri, Jan 21",2 PM PT Monday,2022-01-21 02:53:12,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Very Good,None,360,12264989,True,True,3,False,Round,True,False,0.32,5060503Y,True,,,,[],,,False,None,Ideal,E,False,Lab Created,,1125.0,0.32 Carat Round Diamond,,Thin - Slightly Thick,4,312610134,True,lab-created-colorless-diamonds,59.0,4.49 x 4.47 x 2.66,Grown Diamonds NY,4.48,False,59.4,SI2,True,4847,GCAL,True,Excellent,12264989,"Monday January 17, 2022 by 2:00 PM PT","Friday, January 21","Fri, Jan 21",2 PM PT Monday,2022-01-21 02:53:12,260.0,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Excellent,None,360,9896605,True,True,3,False,Round,False,False,0.31,3756418Y,True,,Glacier,,[],,,False,Pointed,Ideal,E,False,Lab Created,,1161.29,0.31 Carat Round Diamond,,Medium - Slightly Thick,4,LG384939710,True,lab-created-colorless-diamonds,62.0,4.40 x 4.38 x 2.62,Grown Diamonds NY,4.390000000000001,False,59.8,VS1,True,9873,IGI,True,Excellent,9896605,"Monday January 17, 2022 by 2:00 PM PT","Friday, January 21","Fri, Jan 21",2 PM PT Monday,2022-01-21 02:53:12,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Excellent,None,360,12006476,True,True,3,False,Round,True,False,0.32,4961260Y,True,,Yosemite,,[],,,False,Pointed,Ideal,F,False,Lab Created,,1093.75,0.32 Carat Round Diamond,,"Medium, Faceted",4,LG442036069,True,lab-created-colorless-diamonds,56.5,4.40 x 4.37 x 2.75,Surreal Diamond,4.385,False,62.7,SI1,True,7072,IGI,True,Excellent,12006476,"Monday January 17, 2022 by 2:00 PM PT","Friday, January 21","Fri, Jan 21",2 PM PT Monday,2022-01-21 02:57:04,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Very Good,None,360,12654966,True,True,3,False,Round,False,False,0.3,5198697Y,True,,,,[],,,False,Pointed,Ideal,G,False,Lab Created,,1200.0,0.30 Carat Round Diamond,,Thin - Medium,4,LG496138836,True,lab-created-colorless-diamonds,58.5,4.37 x 4.34 x 2.60,Clear Cut Inc,4.355,False,59.7,VVS2,True,10479,IGI,True,Excellent,12654966,"Monday January 17, 2022 by 2:00 PM PT","Friday, January 21","Fri, Jan 21",2 PM PT Monday,2022-01-21 02:58:06,,,,,,,,,,,,,,,,,,,,
,1,Lab Created Colorless Diamonds,Excellent,None,360,12972655,True,True,3,False,Round,True,False,0.31,5304767A,True,,Glacier,,[],,,False,Pointed,Super Ideal,E,False,Lab Created,False,1161.29,0.31 Carat Round Diamond,,Medium,10,502184159,True,lab-created-colorless-diamonds,58.5,4.43 x 4.41 x 2.66,Pure Stones,4.42,False,60.2,VS2,True,580,IGI,True,Excellent,12972655,"Monday January 17, 2022 by 2:00 PM PT","Monday, January 31","Mon, Jan 31",2 PM PT Monday,2022-01-31 03:00:01,,,,,,,,,,,,,,,,,,,,
